Title,Item Description,Hyperlink,Contributor,Date
Cats,1 print : tinted lithograph ; sheet 48.5 x 57.3 cm. | Print shows the faces and front paws of two sleeping cats.,https://www.loc.gov/item/2004670356/,"Hunter, Thomas - Hunter, Thomas, Approximately 1828-Approximately 1894", 1874
[Cat],1 drawing : ink and watercolor. | Ukiyo-e drawing showing a cat.,https://www.loc.gov/item/2005678556/,"Andō, Hiroshige", 1840
[Cats],1 negative : glass ; 4 x 5 in. or smaller,https://www.loc.gov/item/2016892680/,Harris & Ewing, 1923
[Cats],1 negative : glass ; 4 x 5 in. or smaller,https://www.loc.gov/item/2016890324/,Harris & Ewing, 1934
[Cat],"1 woodcut. | Source - Schreiber collection, folder I -45-98, p. 2.",https://www.loc.gov/item/2018662113/,NA, 1569
[Cat],"1 woodcut. | Source - Schreiber collection, folder I-45-98, p.4.",https://www.loc.gov/item/2018662115/,NA, 1569
Cat,1 print : col. etching ; 35.3 x 25.3 cm.,https://www.loc.gov/item/2003665736/,"Goldstein, Milton", 1951
"Dandie; the tale of a yellow cat,",Also available in digital form.,https://www.loc.gov/item/25009935/,"Hungerford, Florence", 1924
"The cat, a guide to the classification and varieties of cats and a short treaties upon their care, diseases, and treatment,",Also available in digital form.,https://www.loc.gov/item/agr03000916/,"Huidekoper, Rush Shippen", 1895
"Everybody's cat book; containing chapters on ""colour breeding"", ""showing"", ""conditioning"", ""judging"", ""diseases and their treatment"", ""how to raise and treat the show and pet cat"", and many valuable prescriptions,",Also available in digital form.,https://www.loc.gov/item/10002159/,"Champion, Dorothy Bevill", 1909
"... The domestic cat; bird killer, mouser and destroyer of wild life; means of utilizing and controlling it.",Also available in digital form.,https://www.loc.gov/item/agr16000378/,"Forbush, Edward Howe", 1916
"Pussy and her language,",Also available in digital form.,https://www.loc.gov/item/04029271/,"Grimaldi, Alphonse Leon - Clark, Marvin R.", 1895
John B. Moisant,"1 photographic print. | Photograph shows aviator John B. Moisant (1868-1910), probably with his feline frequent flying companion, Mademoiselle Fifi. (Source: Flickr Commons project, 2019)",https://www.loc.gov/item/2004671743/,NA, 1911
The nomad of the nine lives,Also available in digital form on the Library of Congress Web site.,https://www.loc.gov/item/14000113/,"Friebe, A. Frances (Abby Frances) - Atwood, Clara R.", 1913
